1484621068.14M3 2254.0 - M1 2226.0 = 28.0, speed 255, M3 set at 252.137014315
1484623037.92M3 2188.0 - M1 174.0 = 2014.0, speed 255, M3 set at 49.0695296524
1484623067.71M1 2118.0 - M3 2030.0 = 88.0, speed 255, M1 set at 245.756302521
1484623068.21M1 2154.0 - M3 2110.0 = 44.0, speed 255, M1 set at 250.378151261
1484623068.71M1 2252.0 - M3 2244.0 = 8.0, speed 255, M1 set at 254.159663866
1484623069.22M1 2294.0 - M3 2286.0 = 8.0, speed 255, M1 set at 254.159663866
1484623069.72M1 2310.0 - M3 2298.0 = 12.0, speed 255, M1 set at 253.739495798
1484623080.26M1 2240.0 - M3 2214.0 = 26.0, speed 255, M1 set at 252.268907563
1484623080.76M1 2346.0 - M3 2340.0 = 6.0, speed 255, M1 set at 254.369747899
1484623098.0M1 2152.0 - M3 2118.0 = 34.0, speed 255, M1 set at 251.428571429
1484623098.51M1 2308.0 - M3 2304.0 = 4.0, speed 255, M1 set at 254.579831933
1484623119.59M1 2058.0 - M3 2032.0 = 26.0, speed 255, M1 set at 252.268907563
1484623120.1M3 2296.0 - M1 2270.0 = 26.0, speed 255, M3 set at 252.341513292
1484623120.6M1 2280.0 - M3 2274.0 = 6.0, speed 255, M1 set at 254.369747899
1484623136.17M1 2100.0 - M3 2066.0 = 34.0, speed 255, M1 set at 251.428571429
1484623136.67M1 2226.0 - M3 2210.0 = 16.0, speed 255, M1 set at 253.319327731
1484623137.18M3 2244.0 - M1 2240.0 = 4.0, speed 255, M3 set at 254.591002045
1484623137.69M3 2280.0 - M1 2216.0 = 64.0, speed 255, M3 set at 248.45603272
